,test_labels,train_gnn_accuracy,train_gnn_auc,train_att_accuracy,train_att_auc,test_gnn_accuracy,test_att_mean_score,test_att_var_score,test_gnn_mean_score
0,0,0.893943190574646,0.5230179882124453,0.5504390001296997,0.6652703746102158,1.0,0.0,,0.0
1,1,0.8940267562866211,0.5202614191339939,0.6563902497291565,0.6237023220681939,0.0,0.0,,0.0
2,0,0.8939453959465027,0.5138710977337513,0.8844878077507019,0.6433789224366656,1.0,0.0,,0.0
3,0,0.8939476013183594,0.5262994059331747,0.1155121922492981,0.6206566634470341,1.0,1.0,,0.0
4,0,0.8939387798309326,0.50772318881523,0.8844878077507019,0.5813128648171666,1.0,0.0,,0.0
5,0,0.893905520439148,0.5150664314731557,0.8844878077507019,0.613293430757031,1.0,0.0,,0.0
6,0,0.8939298987388611,0.5271752160823354,0.6224390268325806,0.655002206044562,1.0,1.0,,0.0
7,0,0.8939343094825745,0.5269411738310461,0.8844878077507019,0.6538203698403897,1.0,0.0,,0.0
8,0,0.893943190574646,0.5206318831030099,0.1155121922492981,0.5835490934349307,1.0,1.0,,0.0
9,0,0.8939365148544312,0.5297863136698384,0.8844878077507019,0.6151272052992768,1.0,0.0,,0.0
10,0,0.893905520439148,0.5156851216154782,0.1155121922492981,0.6045827221993667,1.0,1.0,,0.0
11,0,0.8939476013183594,0.5,0.8844878077507019,0.9132782269364004,1.0,0.0,,0.0
12,0,0.8938811421394348,0.5204364377487047,0.8636097311973572,0.6198824983156551,1.0,0.0,,0.0
13,0,0.893943190574646,0.5145853672016114,0.8844878077507019,0.6163971714931344,1.0,0.0,,0.0
14,0,0.8939387798309326,0.5199024792673546,0.1155121922492981,0.6427387223424615,1.0,1.0,,0.0
15,0,0.8937700986862183,0.5222451164326903,0.8056585192680359,0.6374647107398596,0.9999999403953552,0.0,,0.0
16,1,0.8939893841743469,0.5210202253228384,0.11531706899404526,0.6515727755771956,0.0,1.0,,0.0
17,0,0.8938567042350769,0.5119859812995884,0.8844878077507019,0.6999611706345658,1.0,0.0,,0.0
18,0,0.8939476013183594,0.4999883188487057,0.7342438697814941,0.747579872228284,1.0,1.0,,0.0
19,0,0.893892228603363,0.5247927901998051,0.30692681670188904,0.6339085818114607,1.0,0.0,,0.0
20,0,0.8939033150672913,0.5277377588932032,0.4786341190338135,0.61384848200285,1.0,0.0,,0.0
21,0,0.8939321041107178,0.5208609720879918,0.4673170745372772,0.6754323400170521,1.0,0.0,,0.0
22,0,0.8939387798309326,0.524063922896276,0.8844878077507019,0.6978529447713763,1.0,0.0,,0.0
23,0,0.8939321041107178,0.518085073820432,0.8844878077507019,0.7318256583850562,1.0,0.0,,0.0
24,1,0.8939893841743469,0.5272460640041219,0.8362926840782166,0.7009912695729279,0.0,0.0,,0.0
25,0,0.8939409852027893,0.5181252022662488,0.8844878077507019,0.6403582810143036,1.0,0.0,,0.0
26,0,0.8939254879951477,0.523365518475414,0.1155121922492981,0.5896643458481645,1.0,1.0,,0.0
27,0,0.893943190574646,0.5183792870471152,0.8844878077507019,0.5793710239027909,1.0,0.0,,0.0
28,0,0.8939476013183594,0.5171512586990302,0.1155121922492981,0.6168965126609072,1.0,1.0,,0.0
29,0,0.8938877582550049,0.5,0.7845853567123413,0.898024658510264,1.0,1.0,,0.0
30,0,0.8939453959465027,0.5157983509951345,0.8130731582641602,0.6329063593706215,1.0,0.0,,0.0
