,train_gnn_accuracy,test_gnn_accuracy,test_labels,train_gnn_auc
2,0.9901557564735413,0.04938271641731262,[0],0.9885657516952311
3,0.989495575428009,0.03466465696692467,[0],0.9845240657206382
4,0.9896382689476013,0.007882182486355305,[0],0.9595234841943525
10,0.9933887124061584,0.03289013355970383,[0],0.9942145184964883
12,0.9895454049110413,0.06471004337072372,[0],0.981436160678271
15,0.9898018836975098,0.009493671357631683,[0],0.9920671207644718
