,train_gnn_accuracy,train_attention_accuracy,test_gnn_accuracy,test_attention_accuracy,attention_score,test_labels,train_gnn_auc,train_attention_auc
0,0.7196531295776367,0.6000000238418579,0.9999999403953552,0.0,0.4436940550804138,[1],0.8087292673906674,0.7321428571428572
1,0.9240492582321167,0.699999988079071,1.0,1.0,0.648779571056366,[1],0.8794072892737876,0.7857142857142857
2,0.9340260028839111,0.949999988079071,0.0,1.0,0.4522588551044464,[0],0.7431844504938248,1.0
3,0.9344972968101501,1.0,0.0,0.0,0.9183643460273743,[0],0.8039211419407658,1.0
4,0.9544928073883057,0.9000000357627869,0.0,0.0,0.6251363158226013,[0],0.8041502708779571,0.8
5,0.9267092943191528,0.699999988079071,1.0,1.0,0.7086828351020813,[1],0.7403701983006885,0.9047619047619049
6,0.9227909445762634,0.699999988079071,1.0,1.0,0.9414817690849304,[1],0.7482513510291195,0.9642857142857143
7,0.9245635867118835,0.6000000238418579,1.0,0.0,0.4117525517940521,[1],0.7362710766695445,0.7738095238095238
8,0.9265837669372559,0.8500000238418579,1.0,1.0,0.7868472933769226,[1],0.869231234747945,0.8571428571428572
9,0.9260046482086182,0.699999988079071,1.0,1.0,0.7364192008972168,[1],0.7253397470114494,0.8928571428571428
10,0.9350691437721252,0.800000011920929,0.0,0.0,0.9526032209396362,[0],0.9791813068092976,0.8666666666666667
11,0.9267846941947937,0.699999988079071,1.0,1.0,0.6245081424713135,[1],0.9148652503795097,0.9285714285714286
12,0.9429836869239807,0.9000000357627869,0.0,0.0,0.5704534649848938,[0],0.7768719515199976,0.88
13,0.9267487525939941,0.9000000357627869,0.9999999403953552,1.0,0.6880307793617249,[1],0.8969885223600056,0.8333333333333334
14,0.9268157482147217,0.8500000238418579,1.0,1.0,0.7794555425643921,[1],0.9001989067444552,0.9107142857142857
15,0.9306194186210632,0.75,0.0,0.0,0.6936420798301697,[0],0.9406504597793834,0.9
16,0.9268702864646912,0.699999988079071,1.0,1.0,0.5949230194091797,[1],0.1803179787997174,0.7857142857142857
17,0.926902174949646,0.699999988079071,0.9999999403953552,1.0,0.8191575407981873,[1],0.7565819008980867,0.9642857142857143
18,0.9317777156829834,1.0,0.9999999403953552,1.0,0.5858660936355591,[1],0.901292152075477,1.0
19,0.926837146282196,0.800000011920929,1.0,1.0,0.7855923175811768,[1],0.9185946381281619,0.9761904761904762
20,0.9269775152206421,0.800000011920929,0.9999999403953552,1.0,0.8809954524040222,[1],0.826525220223148,0.9464285714285714
